"date","value"
1973-01-01,9007.0
1973-02-01,8106.0
1973-03-01,8928.0
1973-04-01,9137.0
1973-05-01,10017.0
1973-06-01,10826.0
1973-07-01,11317.0
1973-08-01,10744.0
1973-09-01,9713.0
1973-10-01,9938.0
1973-11-01,9161.0
1973-12-01,8927.0
1974-01-01,7750.0
1974-02-01,6981.0
1974-03-01,8038.0
1974-04-01,8422.0
1974-05-01,8714.0
1974-06-01,9512.0
1974-07-01,10120.0
1974-08-01,9823.0
1974-09-01,8743.0
1974-10-01,9129.0
1974-11-01,8710.0
1974-12-01,8680.0
1975-01-01,8162.0
1975-02-01,7306.0
1975-03-01,8124.0
1975-04-01,7870.0
1975-05-01,9387.0
1975-06-01,9556.0
1975-07-01,10093.0
1975-08-01,9620.0
1975-09-01,8285.0
1975-10-01,8466.0
1975-11-01,8160.0
1975-12-01,8034.0
1976-01-01,7717.0
1976-02-01,7461.0
1976-03-01,7767.0
1976-04-01,7925.0
1976-05-01,8623.0
1976-06-01,8945.0
1976-07-01,10078.0
1976-08-01,9179.0
1976-09-01,8037.0
1976-10-01,8488.0
1976-11-01,7874.0
1976-12-01,8647.0
1977-01-01,7792.0
1977-02-01,6957.0
1977-03-01,7726.0
1977-04-01,8106.0
1977-05-01,8890.0
1977-06-01,9299.0
1977-07-01,10625.0
1977-08-01,9302.0
1977-09-01,8314.0
1977-10-01,8850.0
1977-11-01,8265.0
1977-12-01,8796.0
1978-01-01,7836.0
1978-02-01,6892.0
1978-03-01,7791.0
1978-04-01,8192.0
1978-05-01,9115.0
1978-06-01,9434.0
1978-07-01,10484.0
1978-08-01,9827.0
1978-09-01,9110.0
1978-10-01,9070.0
1978-11-01,8633.0
1978-12-01,9240.0